iter	Passed	Remaining
405	6552	9586
406	6570	9573
407	6592	9564
408	6617	9562
409	6639	9554
410	6663	9549
411	6695	9555
412	6724	9557
413	6747	9550
414	6785	9564
415	6802	9549
416	6818	9532
417	6831	9511
418	6846	9493
419	6860	9474
420	6873	9452
421	6887	9433
422	6901	9414
423	6915	9394
424	6925	9369
425	6942	9354
426	6955	9333
427	6971	9316
428	6984	9297
429	7000	9279
430	7015	9262
431	7029	9241
432	7042	9221
433	7056	9202
434	7070	9184
435	7086	9166
436	7101	9148
437	7115	9130
438	7129	9111
439	7142	9090
440	7157	9073
441	7171	9053
442	7187	9037
443	7200	9016
444	7216	9000
445	7230	8981
446	7246	8965
447	7259	8944
448	7275	8928
449	7288	8908
450	7304	8891
451	7317	8872
452	7333	8855
453	7346	8835
454	7358	8814
455	7372	8795
456	7386	8777
457	7398	8755
458	7412	8736
459	7428	8719
460	7441	8700
461	7458	8685
462	7472	8666
463	7486	8648
464	7502	8632
465	7517	8614
466	7531	8595
467	7546	8578
468	7560	8560
469	7574	8541
470	7591	8525
471	7603	8506
472	7618	8487
473	7629	8466
474	7644	8448
475	7658	8430
476	7673	8413
477	7689	8397
478	7705	8381
479	7718	8361
480	7733	8344
481	7748	8327
482	7763	8309
483	7779	8293
484	7798	8280
485	7816	8266
486	7837	8255
487	7853	8239
488	7872	8227
489	7892	8214
490	7910	8200
491	7930	8188
492	7948	8174
493	7973	8166
494	7989	8150
495	8002	8131
496	8018	8115
497	8030	8094
498	8046	8079
499	8060	8060
500	8075	8043
501	8089	8025
502	8107	8010
503	8120	7991
504	8135	7974
505	8149	7955
506	8163	7938
507	8177	7919
508	8192	7902
509	8206	7884
510	8220	7866
511	8235	7849
512	8247	7829
513	8264	7814
514	8277	7794
515	8292	7777
516	8306	7759
517	8320	7742
518	8334	7724
519	8349	7707
520	8364	7689
521	8378	7671
522	8392	7654
523	8406	7636
524	8422	7620
525	8434	7600
526	8451	7585
527	8464	7567
528	8481	7551
529	8493	7531
530	8508	7515
531	8523	7497
532	8539	7481
533	8553	7464
534	8568	7447
535	8583	7430
536	8598	7413
537	8613	7396
538	8627	7379
539	8640	7360
540	8655	7343
541	8670	7326
542	8687	7311
543	8702	7294
544	8717	7278
545	8732	7260
546	8744	7242
547	8761	7226
548	8774	7208
549	8789	7191
550	8801	7172
551	8818	7156
552	8829	7136
553	8843	7119
554	8858	7102
555	8872	7084
556	8886	7067
557	8900	7050
558	8917	7035
559	8931	7017
560	8944	6999
561	8957	6980
562	8974	6965
563	8991	6950
564	9013	6939
565	9032	6926
566	9049	6910
567	9067	6896
568	9084	6881
569	9104	6868
570	9122	6853
571	9140	6839
572	9162	6827
573	9175	6809
574	9187	6791
575	9200	6772
576	9214	6755
577	9228	6737
578	9242	6720
579	9256	6703
580	9272	6687
581	9287	6670
582	9301	6652
583	9317	6637
584	9333	6621
585	9349	6605
586	9361	6586
587	9377	6570
588	9390	6552
589	9407	6537
590	9420	6519
591	9434	6502
592	9446	6483
593	9462	6467
594	9476	6450
595	9490	6433
596	9504	6416
597	9519	6399
598	9535	6383
599	9548	6365
600	9564	6349
601	9576	6331
602	9591	6314
603	9605	6297
604	9620	6281
605	9635	6264
606	9650	6248
607	9665	6231
608	9681	6215
609	9695	6198
610	9708	6181
611	9721	6163
612	9735	6146
613	9750	6129
614	9762	6111
615	9778	6095
616	9792	6078
617	9807	6062
618	9820	6044
619	9834	6027
620	9848	6010
621	9862	5993
622	9876	5976
623	9889	5959
624	9904	5942
625	9917	5925
626	9932	5908
627	9944	5890
628	9958	5873
629	9972	5856
630	9987	5840
631	10003	5824
632	10018	5808
633	10033	5792
634	10047	5775
635	10062	5759
636	10075	5741
637	10092	5726
638	10104	5708
639	10120	5692
640	10132	5675
641	10147	5658
642	10164	5643
643	10183	5629
644	10199	5613
645	10215	5598
646	10232	5582
647	10251	5568
648	10272	5555
649	10290	5540
650	10306	5525
651	10324	5510
652	10345	5497
653	10360	5481
654	10373	5464
655	10389	5448
656	10402	5430
657	10416	5413
658	10429	5396
659	10442	5379
660	10457	5363
661	10470	5346
662	10486	5330
663	10500	5313
664	10517	5298
665	10530	5281
666	10543	5263
667	10555	5246
668	10568	5228
669	10584	5213
670	10597	5196
671	10607	5177
672	10622	5161
673	10636	5144
674	10653	5129
675	10666	5112
676	10682	5096
677	10695	5079
678	10710	5063
679	10724	5046
680	10742	5031
681	10754	5014
682	10770	4998
683	10783	4982
684	10799	4966
685	10814	4950
686	10830	4934
687	10845	4918
